Region,Loc,CATEGORY,BRAND,PACK,RTM,Period,ACT-2017,ACT-2018,BP-2018,,
Center,FSD,SPARKLING,FANTA,250ml RGB,Indirect,YTD,33662.203,21686.086,31034.67188,,
Center,FSD,SPARKLING,FANTA,330ml Can,Direct,YTD,104.616,,,,
Center,FSD,SPARKLING,FANTA,330ml Can,Indirect,MTD,6.273,0.697,12.15408302,,
Center,FSD,SPARKLING,FANTA,330ml Can,Indirect,TODAY,1.394,,2.63174464,,
Center,FSD,SPARKLING,FANTA,330ml Can,Indirect,WTD,6.273,0.697,12.15408302,,
Center,FSD,SPARKLING,FANTA,330ml Can,Indirect,YTD,205.014,32.772,261.1229221,,
Center,FSD,SPARKLING,FANTA,500ml PET,Direct,MTD,4.227,54.949,,,
Center,FSD,SPARKLING,FANTA,500ml PET,Direct,TODAY,,54.949,,,
Center,FSD,SPARKLING,FANTA,500ml PET,Direct,WTD,4.227,54.949,,,
Center,FSD,SPARKLING,FANTA,500ml PET,Direct,YTD,446.992,57.063,,,
Center,FSD,SPARKLING,FANTA,500ml PET,Indirect,MTD,250.464,386.797,255.2125976,,
Center,FSD,SPARKLING,FANTA,500ml PET,Indirect,TODAY,60.239,1.057,55.26162563,,
Center,FSD,SPARKLING,FANTA,500ml PET,Indirect,WTD,250.464,386.797,255.2125976,,
Center,FSD,SPARKLING,FANTA,500ml PET,Indirect,YTD,7835.987,2796.292,5354.101382,,
Center,FSD,SPARKLING,FANTA,750ml PET,Indirect,MTD,,19.032,,,
Center,FSD,SPARKLING,FANTA,750ml PET,Indirect,WTD,,19.032,,,
Center,FSD,SPARKLING,FANTA,750ml PET,Indirect,YTD,,352.063,,,
Center,FSD,SPARKLING,FANTA,BIB,Direct,MTD,133.147,247.273,,,
Center,FSD,SPARKLING,FANTA,BIB,Direct,TODAY,,76.084,,,
Center,FSD,SPARKLING,FANTA,BIB,Direct,WTD,133.147,247.273,,,
Center,FSD,SPARKLING,FANTA,BIB,Direct,YTD,1730.911,1673.848,,,
Center,FSD,SPARKLING,FANTA,BIB,Indirect,MTD,,,61.98694154,,
Center,FSD,SPARKLING,FANTA,BIB,Indirect,TODAY,,,13.42213978,,
Center,FSD,SPARKLING,FANTA,BIB,Indirect,WTD,,,61.98694154,,
Center,FSD,SPARKLING,FANTA,BIB,Indirect,YTD,,,1711.372945,,
Center,FSD,SPARKLING,FANTA CITRUS,250ml RGB,Indirect,MTD,6.342,,,,
Center,FSD,SPARKLING,FANTA CITRUS,250ml RGB,Indirect,WTD,6.342,,,,
Center,FSD,SPARKLING,FANTA CITRUS,250ml RGB,Indirect,YTD,179.666,,,,
Center,FSD,SPARKLING,FANTA GRAPE,250ml RGB,Indirect,YTD,53.895,,,,
Center,FSD,SPARKLING,FANTA GRAPE,500ml PET,Indirect,YTD,26.421,,,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,1000ml PET,Indirect,MTD,,1405.485,816.3596479,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,1000ml PET,Indirect,TODAY,,,176.767768,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,1000ml PET,Indirect,WTD,,1405.485,816.3596479,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,1000ml PET,Indirect,YTD,,2469.678,15350.9281,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,250ml RGB,Indirect,MTD,,31.71,275.1639686,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,250ml RGB,Indirect,TODAY,,,59.58173053,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,250ml RGB,Indirect,WTD,,31.71,275.1639686,,
Center,FSD,SPARKLING,FANTA POMEGRANATE,250ml RGB,Indirect,YTD,,444.984,5767.262397,,
Center,FSD,SPARKLING,FANTA RED APPLE,250ml CAN,Indirect,MTD,27.988,3.698,32.92316427,,
